order_id,product_id,unit_price,quantity,discount
10713,10,31,18,0
10713,26,31.23,30,0
10713,45,9.5,110,0
10713,46,12,24,0
10714,2,19,30,0.25
10714,17,39,27,0.25
10714,47,9.5,50,0.25
10714,56,38,18,0.25
10714,58,13.25,12,0.25
10715,10,31,21,0
10715,71,21.5,30,0
10718,12,38,36,0
10718,16,17.45,20,0
10718,36,19,40,0
10718,62,49.3,20,0
10721,44,19.45,50,0.05
10722,2,19,3,0
10722,31,12.5,50,0
10722,68,12.5,45,0
10722,75,7.75,42,0
10723,26,31.23,15,0
10724,10,31,16,0
10724,61,28.5,5,0
10730,16,17.45,15,0.05
10730,31,12.5,3,0.05
10730,65,21.05,10,0.05
10732,76,18,20,0
10733,14,23.25,16,0
10733,28,45.6,20,0
10733,52,7,25,0
10736,65,21.05,40,0
10736,75,7.75,20,0
10740,28,45.6,5,0.2
10740,35,18,35,0.2
10740,45,9.5,40,0.2
10740,56,38,14,0.2
10745,18,62.5,24,0
10745,44,19.45,16,0
10745,59,55,45,0
10745,72,34.8,7,0
10748,23,9,44,0
10748,40,18.4,40,0
10748,56,38,28,0
10750,14,23.25,5,0.15
10750,45,9.5,40,0.15
10750,59,55,25,0.15
10755,47,9.5,30,0.25
10755,56,38,30,0.25
10755,57,19.5,14,0.25
10755,69,36,25,0.25
10757,34,14,30,0
10757,59,55,7,0
10757,62,49.3,30,0
10757,64,33.25,24,0
10764,3,10,20,0.1
10764,39,18,130,0.1
10765,65,21.05,80,0.1
10771,71,21.5,16,0
10773,17,39,33,0
10773,31,12.5,70,0.2
10773,75,7.75,7,0.2
10776,31,12.5,16,0.05
10776,42,14,12,0.05
10776,45,9.5,27,0.05
10776,51,53,120,0.05
10778,41,9.65,10,0
10781,54,7.45,3,0.2
10781,56,38,20,0.2
10781,74,10,35,0
10787,2,19,15,0.05
10787,29,123.79,20,0.05
10788,19,9.2,50,0.05
10788,75,7.75,40,0.05
10795,16,17.45,65,0
10795,17,39,35,0.25
10796,26,31.23,21,0.2
10796,44,19.45,10,0
10796,64,33.25,35,0.2
10796,69,36,24,0.2
10799,13,6,20,0.15
10799,24,4.5,20,0.15
10799,59,55,25,0
